1.,Yahoo Regional>Countries>Australia>Health>Medicine>Urology,[ URL: http://www.yahoo.com.au/Regional/Countries/Australia/Health/Medicine/Urology/],"Australian Institute of Environmental Health Western Australia Cairns Urology - wide range of urological services including urodynamics, prostate biopsies, impotence assessment, transurethral resections, cystoscopy and...",Page size 4 K - ,Rating 2550 out of 2950 ( 86.44% ), - in English [,Translate ]
2.,MedWebPlus: Australia,[ URL: http://www.medwebplus.com/location/Australia.html],"www.medwebplus.com a service of y-DNA, inc. Subjects Location Search MedWebPlus location: Earth : Australia 8 Australian Capitol Territory Queensland Victoria New South Wales South Australia…",Page size 2 K -,Rating 2550 out of 2950 ( 86.44% ), - in English [,Translate ]
3.,Byron Employment Australia - Health Care jobs and career opportunities plus,[ URL: http://www.byron.com.au/employment_australia/healthcr.htm],Byron Employment Australia - comprehensive listing of Health Care jobs and career opportunities featuring a FREE daily JobMail service…,Page size 23 K -,Rating 2550 out of 2950 ( 86.44% ), - in English [,Translate ]
4.,Yahoo Regional>Countries>Australia>Health>Medicine>Audiology,[ URL: http://ca.yahoo.com/Regional/Countries/Australia/Health/Medicine/Audiology/],Personalize Help - Check Mail Home > Regional > Countries > Australia > Health > Medicine > Audiology All sites Canadian sites only This category...,Page size 3 K - ,Rating 2550 out of 2950 ( 86.44% ), - in English [,Translate ]
5.,Yahoo Regional>Countries>Australia>Health>Emergency Services>Ski Patrol,[ URL: http://ca.yahoo.com/Regional/Countries/Australia/Health/Emergency_Services/Ski_Patrol/],Full Coverage: Health Care Issues Australian Ski Patrol Copyright © 1994-99 Yahoo Inc. -…,Page size 3 K -,Rating 2550 out of 2950 ( 86.44% ), - in English [,Translate ]
6.,Hepatitis-B Surface Antigen Hepatitis-Associated Antigen; Australia Antigen,[ URL: http://www3.healthgate.com/tests/test191.asp],From Complete Guide to Medical Tests. Hepatitis-B Surface Antigen Hepatitis-Associated Antigen; Australia Antigen. Description. Purpose. Where performed. Preparation. What you will feel....,Page size 23 K - ,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
7.,Hepatitis-B Surface Antigen Hepatitis-Associated Antigen; Australia Antigen,[ URL: http://www3.healthgate.com/mdx-books/tests/test191.asp],From Complete Guide to Medical Tests. Hepatitis-B Surface Antigen Hepatitis-Associated Antigen; Australia Antigen. Description. Purpose. Where performed. Preparation. What you will feel....,Page size 20 K - ,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
8.,Australian Acupuncture Association Ltd,[ URL: http://www2.eis.net.au/~stjanz/],Australian Acupuncture Association Ltd This Page has moved to http://www.acupuncture.org.au…,Page size 417 bytes -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
9.,Yahoo Regional>Countries>Australia>Health>Medicine>Audiology,[ URL: http://www.yahoo.com.au/Regional/Countries/Australia/Health/Medicine/Audiology/],Copyright © 1994-99 Yahoo Inc. - Company Information - Suggest a Site -…,Page size 3 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
10.,Yahoo Regional>Countries>Australia>Health>Health Care,[ URL: http://www.yahoo.co.uk/Regional/Countries/Australia/Health/Health_Care/],UK sites only Ireland sites only This category only…,Page size 3 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
11.,Yahoo Regional>Countries>Australia>Health>Diseases and Conditions>Birth Defects,[ URL: http://www.yahoo.co.uk/Regional/Countries/Australia/Health/Diseases_and_Conditions/Birth_Defects/],UK sites only Ireland sites only This category only…,Page size 3 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
12.,Vital Health Australia - Natural Therapies Education,[ URL: http://www.vital-health.com.au/],"Vital-health Education and Natural Therapies Training Courses. Homepage to Australian College of Vital Health, Bruce Gibson and associates....",Page size 13 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
13.,Australian Dyspraxia Support Group and Resource Centre Inc. Netscape Page -,[ URL: http://www.users.bigpond.com/dyspraxia/nsstart.htm],"The Australian Dyspraxia Support Group and Resource Centre Inc. is a not for profit group to support parents, professional and others with an interest or have dyspraxia....",Page size 7 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
14.,IRRITABLE BOWEL INFORMATION & SUPPORT ASSOCIATION OF AUSTRALIA Inc.,[ URL: http://www.powerup.com.au/~ibis/],IRRITABLE BOWEL INFORMATION & SUPPORT ASSOCIATION OF AUSTRALIA Inc.Basically we are a group of Irritable Bowel Syndrome IBS sufferers and their families who communicate so that we can help each other in living with That rotten thing Many times we hear,Page size 19 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
15.,Phillips Ormonde & Fitzpatrick - Australian and New Zealand Patent and,[ URL: http://www.pof.com.au/],"Phillips Ormonde & Fitzpatrick are a firm of Australian and New Zealand Patent and Trade Mark Attorneys with offices in Melbourne, Sydney and Adelaide. We also regularly service our clients located in New Zealand and the rest of Australia. Together wi",Page size 7 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
16.,Osteoporosis Australia,[ URL: http://www.osteoporosis.org.au/],"Osteoporosis Australia. Patient information, support and education....",Page size 937 bytes -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
17.,MedWebPlus: Australia,[ URL: http://www.medwebplus.com/subject/Australia.html],"www.medwebplus.com a service of y-DNA, inc. Subjects Location Search MedWebPlus: Australia 11 Broader terms: - Related terms: -…",Page size 5 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
18.,Health insurance in Australia for temporary residents not covered by medicare,[ URL: http://www.iman.com.au/default.htm],Australian health insurance for temporary residents is available from IMAN Health Care…,Page size 10 K - ,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
19.,Health insurance in Australia for temporary residents not covered by medicare,[ URL: http://www.iman.com.au/],Australian health insurance for temporary residents is available from IMAN Health Care…,Page size 10 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
