1.,Tulane Cancer Center Faculty Library,[ URL: http://www1.omi.tulane.edu/cancer_center/libraryfac.html],"Tulane Cancer Center Cancer Library for Medical Faculty Journals Video tapes Audio tapes For the convenience of our medical faculty and visiting faculty, the Tulane…",Page size 9 K - ,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
2.,Lincolnshire Post-Polio Library GASTROINTESTINAL INVOLVEMENT IN THE POST-POLIO SYNDROME PPS,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/usa/gi.html],"Lincolnshire Post-Polio Library GASTROINTESTINAL INVOLVEMENT IN THE POST-POLIO SYNDROME PPS Gastrointestinal involvement is common in the post-polio syndrome, and it appears to affect the entire gastrointestinal tract. Unfortunately, there......",Page size 30 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
3.,Lincolnshire Post-Polio Library Original Research - Electrophysiology and Electrodiagnosis of the,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/trojan/electrophysiology.html],Lincolnshire Post-Polio Library Original Research - Electrophysiology and Electrodiagnosis of the Post-Polio Motor Unit Post-poliomyelitis syndrome refers to new symptoms that may occur years after recovery from poliomyelitis. The most common of these....,Page size 56 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
4.,Lincolnshire Post-Polio Library Anticholinesterases in Post-Poliomyelitis Syndrome,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/trojan/anticholinesterases.html],"Lincolnshire Post-Polio Library Anticholinesterases in Post-Poliomyelitis Syndrome New weakness, fatigue, and pain after decades of functional stability in those who have recovered from acute paralytic poliomyelitis constitutes post-poliomyelitis......",Page size 48 K - ,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
5.,Lincolnshire Post-Polio Library THE PATHOPHYSIOLOGY OF POST-POLIO FATIGUE,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/harvest/nyas.html],"Lincolnshire Post-Polio Library THE PATHOPHYSIOLOGY OF POST-POLIO FATIGUE: A Role for the Basal Ganglia in the Generation of Fatigue. Fatigue is the most commonly reported, most debilitating and least studied Post-Polio Sequelae PPS......",Page size 88 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
6.,Lincolnshire Post-Polio Library THE CAUSE AND TREATMENT OF POST-POLIO FATIGUE.,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/harvest/fat.html],"Lincolnshire Post-Polio Library THE CAUSE AND TREATMENT OF POST-POLIO FATIGUE. Fatigue is the most commonly reported, most debilitating and least studied Post-Polio Sequelae PPS affecting the nearly 2 million North American polio survivors......",Page size 45 K - ,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
7.,"Lincolnshire Post-Polio Library POLIOENCEPHALITIS, STRESS AND THE ETIOLOGY OF POST-POLIO SEQUELAE",[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/harvest/enceph.html],"Lincolnshire Post-Polio Library POLIOENCEPHALITIS, STRESS AND THE ETIOLOGY OF POST-POLIO SEQUELAE Post-mortum neurohistopathology from 158 individuals who contracted polio before 1950 are reviewed that document polio virus-induced lesions......",Page size 58 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
8.,Lincolnshire Post-Polio Library BE TRUE TO YOUR PPS AND YOUR TEETH,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/harvest/dental.html],"Lincolnshire Post-Polio Library BE TRUE TO YOUR PPS AND YOUR TEETH WONT BE FALSE TO YOU: Unfortunately, only a handful of specialists treat Post-Polio Sequelae PPS - the unexpected and often disabling fatigue, muscle weakness, joint pain......",Page size 26 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
9.,Lincolnshire Post-Polio Library BROMOCRIPTINE IN THE TREATMENT OF POST-POLIO FATIGUE,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/harvest/bromo.html],Lincolnshire Post-Polio Library BROMOCRIPTINE IN THE TREATMENT OF POST-POLIO FATIGUE: A pilot study with implications for the pathophysiology of fatigue. Objective: Determine the effectiveness of bromocriptine in the treatment of severe and......,Page size 48 K -,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
10.,Lincolnshire Post-Polio Library Polioencephalitis and the Brain Fatigue Generator Model of,[ URL: http://www.zynet.co.uk/ott/polio/lincolnshire/library/harvest/bfg.html],Lincolnshire Post-Polio Library Polioencephalitis and the Brain Fatigue Generator Model of Post-Viral Fatigue Syndromes. Fatigue is the most commonly reported and most debilitating Post-Polio Sequelae PPS affecting millions of polio......,Page size 70 K - ,Rating 2050 out of 2950 ( 69.49% ), - in English [,Translate ]
