1.,Mental Health Net - Canada Departments and Organizations,[ URL: http://www.mentalhelp.net/depts/canada.htm],A listing of academic psychology departments within Canada....,Page size 12 K - ,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
2.,MedWebPlus: Canada-Alberta,[ URL: http://www.medwebplus.com/subject/Canada-Alberta.html],"www.medwebplus.com a service of y-DNA, inc. Subjects Location Search MedWebPlus: Canada-Alberta 1 Broader terms: - Related terms: -…",Page size 2 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
3.,MedWebPlus: Canada,[ URL: http://www.medwebplus.com/location/Canada.html],"www.medwebplus.com a service of y-DNA, inc. Subjects Location Search MedWebPlus location: Earth : Canada 12 Alberta Newfoundland Prince Edward Island British Columbia Northwest Territory Quebec…",Page size 2 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
4.,Lupus Canada,[ URL: http://www.lupuscanada.org/index.html],"A source of information about Lupus Canada, its member organizations, lupus the disease, as well as activities of interest to people with lupus, their family and friends....",Page size 7 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
5.,Lupus Canada,[ URL: http://www.lupuscanada.org/],"A source of information about Lupus Canada, its member organizations, lupus the disease, as well as activities of interest to people with lupus, their family and friends....",Page size 7 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
6.,Cronkhite Canada Disease: Symptoms and Self-Assessment Test,[ URL: http://www.ibionet.com/rarediseases/cronkhitecanadadisease.html],Cronkhite Canada Disease Signs and Symptoms. Complete the short self-assessment test then visit the related link pages....,Page size 6 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
7.,American Dental Association Statement on Health Canada Amalgam Study,[ URL: http://www.ada.org/prac/position/canada.html],"American Dental Association ADA scientists contributed to the response that the International Committee submitted to Health Canada on Mark Richardsons report, which calls for limits on…",Page size 6 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
8.,Politics and Health Care in Canada,[ URL: http://members.tripod.com/michuhcan/canadahc.htm],Politics and Health Care in Canada from MichUHCAN June 1999 Newsletter Health care benefits in Ontario are a matter of public debate. Thats why health…,Page size 5 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
9.,Thyroid Foundation of Canada Home Page,[ URL: http://home.ican.net/~thyroid/Canada.html],This Web Site is maintained by the Thyroid Foundation of Canada/La Fondation canadienne de la Thyroïde. Its purpose is to provide up-to-date information for thyroid patients…,Page size 3 K - ,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
10.,"Yahoo Regional:Countries:Canada:Health:Medicine:Dentistry:Schools, Departments, and Programs",[ URL: http://dir.yahoo.com/regional/countries/canada/health/medicine/dentistry/schools__departments__and_programs/],"Help - Check Email Home > Regional > Countries > Canada > Health > Medicine > Dentistry > Schools, Departments, and Programs…",Page size 3 K -,Rating 2550 out of 2950 ( 86.44% ),  - in English [,Translate ]
