1,WebScripts: Examples,Size: 19 kb ; Last updated 2 Feb 2004,"Support WebScripts' Advertisers! Support WebScripts' Advertisers! Examples Listed below are a variety of sites on which you can see the various scripts from the WebScripts collection in action. Visit them to get a feel for how others are already using the programs. Remember, though, that these are real sites; please don't post ""test"" messages on forums or otherwise make yourself a nuisance to the sites' owners! Please also remember that I have nothing to do with most of these sites, so"
2,Re: Webbbs crashing linux? ,Size: 2 kb ; Posted 27 Jan 2004,": I guess there is nothing I can do about the situation except : keeping the DB very small? Well, you could think about switching your host. You may as well ask your host if they still have an Apache 1.3.2x running on your box. These versions are stable. (They may run different types of webserver each one listening on a unique port) You would only need to link to the appropriate port (e.g.: yourdomain.com:8080/cgi-bin.... would link to port 8080 instead of standard port 80) : any suggestions abo"
3, Re: Webbbs crashing linux? (LINK),Size: 1 kb ; Posted 27 Jan 2004,": Thanks for the interesting info, I will forward the info to my : ISP. But I doubt'they will do anything with it, because : their service isn't great. : I guess there is nothing I can do about the situation except : keeping the DB very small? Hmm, seems I gave you another option: http://awsd.com/scripts/forum/webbbs/index.cgi/frames/read/81847 --KTFA"
4,Re: Webbbs crashing linux? ,Size: 1 kb ; Posted 27 Jan 2004,"Thanks for the interesting info, I will forward the info to my ISP. But I doubt'they will do anything with it, because their service isn't great. I guess there is nothing I can do about the situation except keeping the DB very small? any suggestions about the max amount of records to keep in the DB? It is indeed a shared server, and the website isn't fast indeed. Thanks for the info and help anyway! Greetings, Jan Willem ten Doesschate"
5,Re: Webbbs crashing linux?,Size: 1 kb ; Posted 27 Jan 2004,": I am using webbbs 4.12. The server is running apache 2.0.4.0 Hi Jan, I'm *absolutely* sure it's Apache 2.0.40 !!! I reported this problem on this board even with WebBBS 5.01 seeing infinite loops taking 100% CPU within seconds on WinXP/Apache 2.0.40 on databases which are more than a couple of K messages. It took me hours to find it's the Apache 2.0.4x - in fact the problem vanished simply by starting Xitami (which I always have installed as a second server) and shuting down Apache 2.0.4x. Tho"
6,Guest Book Archive,Size: 71 kb ; Last updated 19 Jan 2004,"Guest Book Archive We've had a family Web site since late 1995, when the World-Wide Web was still young and innocent. Our original guest book was set up in January of 1996, and collected signatures until the end of 2002, when ongoing attacks by spammers finally forced us to disable the ability to post new messages. Though a lot of ""chaff"" has been removed in the interest of keeping the file size down, what appears below is a significant sampling of what was posted on that guest book du"
7,1999-2001 In Review,Size: 13 kb ; Last updated 19 Jan 2004,"1999-2000 In Review A Report from the Midwestern Front How the Omaha Burgdorfs are faring ""in and around"" the year 2000 Well, as I sit here, it's early April of the year 2001, over fifteen months past the date when civilization as we know it was supposed to come to an end as a result of the Y2K ""millennium"" computer bug. I suppose it's time for me to give up hoping that I'll be able to blame your failure to receive a new update letter on the widespread collapse of our societa"
8,1998 In Review,Size: 15 kb ; Last updated 19 Jan 2004,"1998 In Review 1998 In Review: The Sixth Annual Report from The Omaha Burgdorfs! OK, here we go again. It's time for yet another of our (more or less) annual letters in which we pretend that you're interested in what we've been doing! We'll start right off with the most important subject: the kids. They're all faring quite well, of course. (And no, that's not all I'm going to say about them!) Deirdre is now walking (well, running, actually) just fine, though she's still a bit awkward going down"
9,1996-97 In Review,Size: 21 kb ; Last updated 19 Jan 2004,"1996-97 In Review Well, it's that time again! (Time to change our socks? Time to send for the free brochure? Time to pay the piper? Time to stand up and be counted? Time to....) Nope, it's time for.... THE COMBINED FOURTH & FIFTH ANNUAL OMAHA BURGDORF YEARS IN REVIEW! (December, 1997) Yes, our fifth anniversary has come and gone -- OK, OK, it's long gone -- and so it's time for yet another of our annual looks at what we've been doing here in the Heartland of America! (For the record, I'm usi"
10,1994-95 In Review,Size: 38 kb ; Last updated 19 Jan 2004,"1994-95 In Review The (Long Overdue) Third Annual Omaha Burgdorf Family's End-of-Year Review! Composed and Written for your Enlightenment by Darryl Proofread and Approved for your Protection by Joy Scribbled Upon for your Amusement by Cassandra Glanced At in Passing by Carl Well, here it is the end of 1995, and I'm finally getting around to writing this letter which should have gone out some six months ago. So much for ""annual,"" eh? I'd love to claim that circumstances beyond my contro"
