1,Digital Clendening: Search :,Search the Digital Clendening . .Enter your search term in the box below. All components of the Digital Clendening will be searched. . .Search tips: .Enter search terms in all lower case. This forces the search engine to find all versions o ...
2,Digital Clendening: Portrait Collection: H :,"Clendening Library Portrait Collection .H .Haberer, Hans von. Haden, Russell. Haden, Russell. Haeckel, Ernst. Haggard, William D. Hahnemaan, Samuel. Hahnemaan, Samuel. Hahnemaan, Samuel. Hales, Stephen. Hales, Stephen. Halford, Sir Henry. H ..."
3,"Digital Clendening: Rare Text Images: Diagnostics: Harvey, 1674 :","Harvey, William (1578-1657). Observationes et historiae omnes & singulae e Guilielmi Harvei libello De generatione animalium excerptae, & in accuratissimum ordinem redactae. Item Wilhelmi Langly De generatione animalium observationes quaeda ..."
4,"Digital Clendening: Rare Text Images: Reproduction: Harvey, 1674 :","Harvey, William, 1578-1657. Observationes et historiae omnes & singulae e Guilielmi Harvei libello De generatione animalium excerptae, & in accuratissimum ordinem redactae. Item Wilhelmi Langly De generatione animalium observationes quaedam ..."
5,Digital Clendening: Ralph Major Photograph Collection: 19th Century :,"Note: References to Major, followed by page numbers, pertain to the following book unless otherwise noted: Major, Ralph H., A History of Medicine. Springfield, IL: Charles C. Thomas, 1954. . 19th Century . Box No. . Image .No. . Description ..."
6,Digital Clendening: Portrait Collection: W :,"Portrait Collection Clendening Library.W .Wagner, Ernst. Wagner, Gerhard. Wagner, Jeuregg. Waldeyer, Wilhelm. Waldmann, Anton. Walker, Mary. Walkhoff, Otto. Wallichs, Julius. Walzel-Wiessentreu, Peter. Wardrop, James. Warren, J. Waters, Buc ..."
7,"Digital Clendening: Rare Text Images: Reproduction: Swammerdam, 1717 :","Swammerdam, Jan (1637-1680). Miraculum naturae. Lugduni Batavorum : Apud Joh. du Vivie, 1717. ""Dutch naturalist, considered the most accurate of classical microscopists, who was the first to observe and describe red blood cells (1658). He c ..."
8,"Digital Clendening: Rare Text Images: Reproduction: Fabricius, 1625 :","Fabricius, Hieronymous, ab Aquapendente (c.1533-1619). Opera anatomica. De formato foetu. De formatione ovi, and pulli. De locutione, and ejus instrumentis. De brutorum loquela. De venarum ostiolis. Patavii, Sumptibus Antonii Megliette, 162 ..."
9,Digital Clendening: Rare Text Images: Reproduction :,"Rare Text Images from the Clendening Library .Â  .Home . . . Reproduction . Rosslin, 1526 .Dryander, 1541 .Estienne, 1545 .Rueff, 1587 .Duval, 1612 .Remmelin, 1613 Mercurio, 1621 .Fabricius, 1625 .Denis, 1672 .Harvey, 1674 . Mauriceau, ..."
10,"Digital Clendening: Rare Text Images: Portraits: Casserio, 1601 : ","Casseri, Giulio (1561-1616). De vocis auditusque organis historia anatomica. .2pts. Ferrariae, exc. V. Baldinus, typ.Cameralis, 1600-1601. ""Professor at Padua and a teacher of William Harvey. He described the muscles of the ossicles of the …"
