ARCADIS NV, ARCAF,N/A,Time Not Supplied,Add
Associated British Foods plc,ABF.L,N/A,Time Not Supplied,Add
Athlon Holding N.V.,ATHL.AS,N/A,Time Not Supplied,Add
Buhrmann NV,BUH,N/A,Time Not Supplied,Add
Companhia Vale do Rio Doce (CVRD),RIO,1.10,Time Not Supplied,Add
Delhaize Group,DEG,N/A,Time Not Supplied,Add
ENI SpA,E,1.71,Time Not Supplied,Add
Epcos,EPC,N/A,Time Not Supplied,Add
"Journal Communications, Inc.",JRN,0.21,Time Not Supplied,Add
Rofin-Sinar Technologies,RSTI,0.3,Time Not Supplied,Add
Swisscom AG, SCM,N/A,Before Market Open,Add
Total,TOT,1.61,Time Not Supplied,Add
