Apex Silver Mines Limited,SIL,N/A,Time Not Supplied,Add,
Barnes Group,B,0.36,Before Market Open,Add,Listen
Barrick Gold,ABX,0.08,Time Not Supplied,Add,
City of London Investment Trust,CTY.L,N/A,Time Not Supplied,Add,
Ducati Motor Holding S.p.A.,DMH,N/A,Time Not Supplied,Add,
Federal Realty Investment Trust,FRT,0.67,Time Not Supplied,Add,Listen
J. M. Smucker Company,SJM,0.63,Before Market Open,Add,Listen
Maine & Maritimes Corporation,MAM,N/A,Before Market Open,Add,
Rhodia S.A.,RHA,N/A,Time Not Supplied,Add,
SanPaolo IMI SpA,IMI,N/A,Time Not Supplied,Add,
SCANA,SCG,0.61,Before Market Open,Add,Listen
Skanska,SKAb.ST,N/A,Time Not Supplied,Add,
Song Networks,SONW.ST,N/A,Time Not Supplied,Add,
Standard Register,SR,0.11,Before Market Open,Add,Listen
Telenor ASA,TELN,N/A,Time Not Supplied,Add,
TELUS,TU,N/A,11:00 am ET,Add,
